"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-1", "107", "MultipleClientProtocolServer.java:81", "Method Call", " caller=SYSTEM, target=ClientHandler:2#run:2"
"Thread-1", "108", "MultipleClientProtocolServer.java:72", "Method Entered", " "
"main", "109", "MultipleClientProtocolServer.java:45", "Line Step", " file=MultipleClientProtocolServer.java, line=45"
"Thread-1", "110", "MultipleClientProtocolServer.java:81", "Field Read", " context=ClientHandler:2, s"
"main", "111", "MultipleClientProtocolServer.java:23", "Line Step", " file=MultipleClientProtocolServer.java, line=23"
"Thread-1", "112", "MultipleClientProtocolServer.java:81", "Variable Write", " context=ClientHandler:2#run:2, dos=java.io.DataOutputStream (id=82)"
"Thread-1", "113", "MultipleClientProtocolServer.java:82", "Line Step", " file=MultipleClientProtocolServer.java, line=82"
"main", "114", "MultipleClientProtocolServer.java:23", "Variable Write", " context=MultipleClientProtocolServer#main:1, s=null"
"main", "115", "MultipleClientProtocolServer.java:23", "Variable Delete", " method=MultipleClientProtocolServer#main:1 <name=sock,type=java.lang.String (id=25),value=<?>,index=3>"
"main", "116", "MultipleClientProtocolServer.java:23", "Variable Delete", " method=MultipleClientProtocolServer#main:1 <name=t,type=java.lang.Thread (id=97),value=<?>,index=4>"
"main", "117", "MultipleClientProtocolServer.java:28", "Line Step", " file=MultipleClientProtocolServer.java, line=28"
"Thread-1", "118", "MultipleClientProtocolServer.java:86", "Line Step", " file=MultipleClientProtocolServer.java, line=86"
"Thread-1", "119", "MultipleClientProtocolServer.java:86", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "120", "MultipleClientProtocolServer.java:86", "Variable Write", " context=ClientHandler:2#run:2, dis=java.io.DataInputStream (id=83)"
"Thread-1", "121", "MultipleClientProtocolServer.java:87", "Line Step", " file=MultipleClientProtocolServer.java, line=87"
"Thread-1", "122", "MultipleClientProtocolServer.java:87", "Variable Write", " context=ClientHandler:2#run:2, received=""Time"""
"Thread-1", "123", "MultipleClientProtocolServer.java:89", "Line Step", " file=MultipleClientProtocolServer.java, line=89"
"Thread-1", "124", "MultipleClientProtocolServer.java:100", "Line Step", " file=MultipleClientProtocolServer.java, line=100"
"Thread-1", "125", "MultipleClientProtocolServer.java:100", "Variable Write", " context=ClientHandler:2#run:2, date=""Thu Apr 30 21:48:56 IST 2020"""
"Thread-1", "126", "MultipleClientProtocolServer.java:104", "Line Step", " file=MultipleClientProtocolServer.java, line=104"
"Thread-1", "127", "MultipleClientProtocolServer.java:112", "Line Step", " file=MultipleClientProtocolServer.java, line=112"
"Thread-1", "128", "MultipleClientProtocolServer.java:112", "Field Read", " context=ClientHandler:2, fortime"
"Thread-1", "129", "MultipleClientProtocolServer.java:112", "Variable Write", " context=ClientHandler:2#run:2, toreturn=""09:48:56"""
