"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "109", "ServerA.java:45", "Line Step", " file=ServerA.java, line=45"
"Thread-1", "110", "ServerA.java:81", "Field Read", " context=ClientHandler:2, s"
"main", "111", "ServerA.java:23", "Line Step", " file=ServerA.java, line=23"
"Thread-1", "112", "ServerA.java:81", "Variable Write", " context=ClientHandler:2#run:2, dos=java.io.DataOutputStream (id=80)"
"Thread-1", "113", "ServerA.java:82", "Line Step", " file=ServerA.java, line=82"
"main", "114", "ServerA.java:23", "Variable Write", " context=ServerA#main:1, s=null"
"main", "115", "ServerA.java:23", "Variable Delete", " method=ServerA#main:1 <name=sock,type=java.lang.String (id=25),value=<?>,index=3>"
"main", "116", "ServerA.java:23", "Variable Delete", " method=ServerA#main:1 <name=t,type=java.lang.Thread (id=97),value=<?>,index=4>"
"main", "117", "ServerA.java:28", "Line Step", " file=ServerA.java, line=28"
"Thread-1", "118", "ServerA.java:86", "Line Step", " file=ServerA.java, line=86"
"Thread-1", "119", "ServerA.java:86", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "120", "ServerA.java:86", "Variable Write", " context=ClientHandler:2#run:2, dis=java.io.DataInputStream (id=81)"
"Thread-1", "121", "ServerA.java:87", "Line Step", " file=ServerA.java, line=87"
"Thread-1", "122", "ServerA.java:87", "Variable Write", " context=ClientHandler:2#run:2, received=""Date"""
"Thread-1", "123", "ServerA.java:89", "Line Step", " file=ServerA.java, line=89"
"Thread-1", "124", "ServerA.java:100", "Line Step", " file=ServerA.java, line=100"
"Thread-1", "125", "ServerA.java:100", "Variable Write", " context=ClientHandler:2#run:2, date=""Thu Feb 27 07:15:21 IST 2020"""
"Thread-1", "126", "ServerA.java:104", "Line Step", " file=ServerA.java, line=104"
"Thread-1", "127", "ServerA.java:107", "Line Step", " file=ServerA.java, line=107"
"Thread-1", "128", "ServerA.java:107", "Field Read", " context=ClientHandler:2, fordate"
